0.0000 0.0000 0.0000 0.0000
0.2379 0.0002 0.0002 0.0004
0.4756 0.0004 0.0004 0.0009
0.7128 0.0006 0.0006 0.0013
0.9494 0.0008 0.0008 0.0018
1.1851 0.0010 0.0010 0.0022
1.4198 0.0013 0.0013 0.0027
1.6532 0.0015 0.0015 0.0032
1.8853 0.0017 0.0017 0.0037
2.1158 0.0019 0.0019 0.0042
2.3447 0.0022 0.0022 0.0048
2.5719 0.0024 0.0024 0.0054
2.7972 0.0027 0.0027 0.0060
3.0207 0.0030 0.0030 0.0066
3.2421 0.0033 0.0033 0.0073
3.4617 0.0036 0.0036 0.0080
3.6793 0.0039 0.0039 0.0087
3.8950 0.0043 0.0043 0.0096
4.1087 0.0046 0.0046 0.0104
4.3207 0.0050 0.0050 0.0114
4.5308 0.0054 0.0054 0.0124
4.7392 0.0059 0.0059 0.0136
4.9459 0.0064 0.0064 0.0148
5.1512 0.0069 0.0069 0.0161
5.3549 0.0075 0.0075 0.0177
5.5575 0.0082 0.0082 0.0193
5.7587 0.0089 0.0089 0.0212
5.9590 0.0097 0.0097 0.0233
6.1584 0.0105 0.0105 0.0257
6.3569 0.0115 0.0115 0.0284
6.5549 0.0127 0.0127 0.0316
6.7524 0.0140 0.0140 0.0352
6.9497 0.0155 0.0155 0.0395
7.1468 0.0172 0.0172 0.0445
7.3441 0.0193 0.0193 0.0506
7.5415 0.0218 0.0218 0.0581
7.7394 0.0248 0.0248 0.0673
7.9380 0.0286 0.0286 0.0791
8.1374 0.0334 0.0334 0.0944
8.3379 0.0398 0.0398 0.1150
8.5397 0.0487 0.0487 0.1439
8.7430 0.0617 0.0617 0.1869
8.9481 0.0827 0.0827 0.2562
9.1551 0.1221 0.1221 0.3844
9.3645 0.2220 0.2220 0.6912
9.5763 0.4912 0.4912 1.5167
9.7912 0.9489 0.9489 3.2501
10.0090 1.3218 1.3218 5.5049
10.2306 1.5040 1.5040 6.5958
10.4558 1.4180 1.4180 5.7704
10.6853 1.3650 1.3650 4.8794
10.9194 1.2701 1.2701 3.8156
