0.000 1.592 0.000
0.238 1.592 0.000
0.476 1.593 0.001
0.713 1.594 0.001
0.949 1.596 0.001
1.185 1.598 0.001
1.420 1.601 0.002
1.653 1.604 0.002
1.885 1.607 0.002
2.116 1.611 0.003
2.345 1.616 0.003
2.572 1.621 0.003
2.797 1.627 0.004
3.021 1.633 0.004
3.242 1.640 0.005
3.462 1.647 0.005
3.679 1.655 0.006
3.895 1.664 0.006
4.109 1.673 0.007
4.321 1.683 0.007
4.531 1.694 0.008
4.739 1.706 0.008
4.946 1.719 0.009
5.151 1.733 0.010
5.355 1.748 0.011
5.557 1.764 0.012
5.759 1.781 0.013
5.959 1.800 0.014
6.158 1.821 0.016
6.357 1.844 0.017
6.555 1.869 0.019
6.752 1.896 0.021
6.950 1.927 0.023
7.147 1.961 0.026
7.344 1.999 0.030
7.542 2.043 0.034
7.739 2.093 0.039
7.938 2.151 0.045
8.137 2.220 0.054
8.338 2.302 0.065
8.540 2.402 0.080
8.743 2.530 0.103
8.948 2.698 0.141
9.155 2.934 0.210
9.365 3.283 0.378
9.576 3.711 0.833
9.791 3.890 1.716
10.009 3.427 2.716
10.231 2.357 3.201
10.456 1.520 2.869
10.685 1.103 2.536
10.919 0.991 2.119
11.158 0.965 2.147
11.403 0.625 2.090
11.654 0.346 1.796
11.911 0.226 1.436
12.175 0.346 1.066
12.447 0.560 1.004
12.727 0.565 1.037
13.016 0.542 0.938
13.315 0.562 0.893
13.625 0.565 0.831
13.947 0.552 0.803
14.281 0.523 0.713
14.630 0.577 0.622
14.993 0.598 0.636
15.373 0.570 0.571
15.771 0.609 0.503
16.189 0.637 0.501
16.630 0.635 0.471
17.094 0.634 0.447
17.585 0.644 0.402
18.106 0.650 0.393
18.659 0.649 0.350
19.249 0.651 0.333
19.880 0.644 0.287
20.556 0.659 0.243
21.283 0.673 0.211
22.069 0.693 0.166
22.920 0.731 0.138
23.846 0.756 0.135
24.857 0.764 0.119
25.967 0.779 0.093
27.190 0.802 0.075
28.546 0.823 0.062
30.059 0.842 0.052
31.756 0.859 0.043
33.675 0.875 0.035
35.861 0.888 0.028
38.375 0.902 0.020
41.295 0.916 0.014
44.728 0.928 0.010
48.820 0.940 0.003
53.779 0.954 0.000
59.910 0.965 0.000
67.680 0.973 0.000
77.839 0.980 0.000
91.677 0.986 0.000
111.618 0.991 0.000
142.809 0.994 0.000
