0.000 1.592 0.000
0.238 1.592 0.000
0.476 1.593 0.001
0.713 1.594 0.001
0.949 1.595 0.001
1.185 1.597 0.001
1.420 1.600 0.002
1.653 1.603 0.002
1.885 1.607 0.002
2.116 1.611 0.003
2.345 1.615 0.003
2.572 1.621 0.003
2.797 1.626 0.004
3.021 1.632 0.004
3.242 1.639 0.005
3.462 1.647 0.005
3.679 1.655 0.006
3.895 1.663 0.006
4.109 1.673 0.007
4.321 1.683 0.007
4.531 1.694 0.008
4.739 1.706 0.008
4.946 1.718 0.009
5.151 1.732 0.010
5.355 1.747 0.011
5.557 1.763 0.012
5.759 1.780 0.013
5.959 1.799 0.014
6.158 1.820 0.016
6.357 1.842 0.017
6.555 1.867 0.019
6.752 1.895 0.021
6.950 1.925 0.023
7.147 1.959 0.026
7.344 1.998 0.030
7.542 2.041 0.034
7.739 2.091 0.039
7.938 2.149 0.045
8.137 2.217 0.053
8.338 2.298 0.064
8.540 2.398 0.080
8.743 2.524 0.102
8.948 2.691 0.139
9.155 2.924 0.207
9.365 3.269 0.371
9.576 3.692 0.814
9.791 3.883 1.680
10.009 3.444 2.682
10.231 2.377 3.171
10.456 1.581 2.846
10.685 1.146 2.568
10.919 1.001 2.148
11.158 0.968 2.163
11.403 0.633 2.107
11.654 0.342 1.816
11.911 0.221 1.448
12.175 0.335 1.079
12.447 0.548 1.005
12.727 0.560 1.038
13.016 0.535 0.935
13.315 0.561 0.889
13.625 0.568 0.830
13.947 0.551 0.807
14.281 0.520 0.713
14.630 0.574 0.626
14.993 0.593 0.632
15.373 0.569 0.567
15.771 0.612 0.500
16.189 0.641 0.503
16.630 0.633 0.474
17.094 0.632 0.448
17.585 0.643 0.402
18.106 0.648 0.393
18.659 0.647 0.347
19.249 0.651 0.331
19.880 0.645 0.285
20.556 0.663 0.243
21.283 0.673 0.212
22.069 0.693 0.166
22.920 0.731 0.138
23.846 0.756 0.135
24.857 0.764 0.119
25.967 0.779 0.093
27.190 0.802 0.075
28.546 0.823 0.063
30.059 0.841 0.052
31.756 0.859 0.043
33.675 0.874 0.035
35.861 0.888 0.028
38.375 0.902 0.020
41.295 0.916 0.014
44.728 0.928 0.010
48.820 0.940 0.003
53.779 0.954 0.000
59.910 0.965 0.000
67.680 0.973 0.000
77.839 0.980 0.000
91.677 0.986 0.000
111.618 0.991 0.000
142.809 0.994 0.000
